2000,111,1108,28,Ap #102-4956 Pede. Rd.,608-2163 Tellus. Road,"453-4151 Odio, St.",1373,57:20,2023-03-20 
2001,132,1094,91,Ap #506-4971 Molestie St.,267-9087 Et St.,6957 Ipsum. St.,1306,35:18,2025-06-17 
2002,186,1059,69,281-2343 Id Rd.,"P.O. Box 573, 7377 Cursus Street","P.O. Box 240, 1877 Suspendisse Rd.",529,46:44,2023-11-22 
2003,115,1023,91,"P.O. Box 922, 1787 Sagittis. Avenue","1718 Ullamcorper, Street",8246 Quis Ave,1082,26:02,2024-03-04 
2004,141,1057,3,9683 Cras Rd.,"P.O. Box 922, 267 Lectus Ave","P.O. Box 692, 3947 Turpis. Av.",482,24:39,2020-09-25 
2005,177,1072,70,"Ap #209-391 Elementum, St.","P.O. Box 220, 1182 Mi Rd.","Ap #933-5846 Iaculis, Avenue",1837,14:19,2022-02-12 
2006,172,1093,20,3729 Duis Street,"P.O. Box 947, 5367 Leo. Street",620-6664 Tempus Street,1537,27:35,2021-06-02 
2007,193,1106,3,7052 Velit Street,"P.O. Box 236, 9033 Facilisis St.",782-8508 Tincidunt Rd.,309,23:11,2021-10-13 
2008,103,1021,31,9393 Lectus. Rd.,"P.O. Box 851, 9582 Proin Ave","120-7084 Ultrices, Ave",458,19:10,2025-06-13 
2009,141,1047,99,7947 Vel Avenue,"P.O. Box 258, 1519 Quis, Road",5514 Quis Avenue,1762,52:54,2021-05-17 
2010,185,1044,31,5623 Tellus. Avenue,"9582 Et, Av.",424-9863 Lacinia Av.,1890,35:45,2024-09-03 
2011,129,1020,88,937-5817 Vitae Avenue,5934 Blandit Street,"P.O. Box 128, 1283 Erat. Ave",881,20:14,2020-03-28 
2012,136,1070,63,"P.O. Box 895, 9677 Primis Rd.",Ap #546-4147 Semper Rd.,669-4009 Non Rd.,651,08:39,2024-11-02 
2013,118,1020,53,"P.O. Box 886, 4870 Nunc Av.","542-3145 Elit, Av.",600-6834 Sem Rd.,1648,13:12,2023-12-16 
2014,164,1042,47,739-4500 Parturient Rd.,"P.O. Box 707, 8388 Molestie Street",951-3511 Gravida Street,959,45:31,2024-01-18 
2015,177,1096,16,213-5482 Phasellus St.,592-3283 Fringilla Street,525 Purus. Rd.,1553,09:54,2021-12-20 
2016,125,1070,85,"P.O. Box 595, 6256 Arcu Ave",Ap #845-8123 Dolor Road,"P.O. Box 572, 8241 Et, Road",137,43:24,2023-08-06 
2017,135,1036,99,795-5733 Sociis Road,2532 Mollis Street,"P.O. Box 283, 380 Elit. Avenue",1849,03:11,2020-04-15 
2018,169,1101,18,6131 Eget Rd.,Ap #374-7590 Hendrerit St.,9142 Turpis Rd.,696,42:13,2023-01-05 
2019,139,1027,67,"P.O. Box 621, 6430 Aliquam Street",Ap #602-8331 Dictum St.,"Ap #510-3469 Est, St.",1112,07:13,2021-06-23 
2020,133,1106,15,8318 Tristique Rd.,"643-6691 Nec, Avenue","P.O. Box 269, 3073 Gravida Rd.",1742,16:44,2024-03-01 
